Date,Open,High,Low,Close,Volume
2-Dec-16,0.04,0.04,0.04,0.04,11988239
1-Dec-16,0.04,0.04,0.03,0.04,10241813
30-Nov-16,0.04,0.04,0.03,0.04,13240839
29-Nov-16,0.04,0.04,0.03,0.03,25569072
28-Nov-16,0.04,0.04,0.04,0.04,30781099
25-Nov-16,0.04,0.04,0.03,0.04,13089869
23-Nov-16,0.03,0.04,0.03,0.04,40186982
22-Nov-16,0.03,0.03,0.03,0.03,51653840
21-Nov-16,0.04,0.04,0.03,0.03,42345608
18-Nov-16,0.04,0.05,0.04,0.04,33951072
17-Nov-16,0.05,0.05,0.04,0.04,20930001
16-Nov-16,0.05,0.05,0.04,0.04,29931417
15-Nov-16,0.05,0.05,0.04,0.05,36433419
14-Nov-16,0.05,0.05,0.05,0.05,46855185
11-Nov-16,0.04,0.05,0.03,0.05,90126641
10-Nov-16,0.05,0.05,0.03,0.04,106315736
9-Nov-16,0.07,0.07,0.04,0.05,87645575
8-Nov-16,0.07,0.07,0.06,0.07,72851967
7-Nov-16,0.06,0.06,0.06,0.06,79697703
4-Nov-16,0.06,0.06,0.05,0.06,60376833
3-Nov-16,0.07,0.07,0.06,0.06,83023069
2-Nov-16,0.06,0.07,0.06,0.07,76358539
1-Nov-16,0.06,0.06,0.05,0.06,79542285
31-Oct-16,0.05,0.06,0.05,0.06,72378719
28-Oct-16,0.04,0.05,0.04,0.05,52634375
27-Oct-16,0.05,0.05,0.04,0.04,143396080
26-Oct-16,0.05,0.06,0.05,0.05,59948570
25-Oct-16,0.06,0.06,0.05,0.05,91410632
24-Oct-16,0.06,0.06,0.06,0.06,54682280
21-Oct-16,0.07,0.07,0.05,0.06,152592355
20-Oct-16,0.06,0.08,0.06,0.07,133304866
19-Oct-16,0.05,0.08,0.05,0.06,197698312
18-Oct-16,0.03,0.05,0.03,0.05,157933533
17-Oct-16,0.03,0.03,0.02,0.03,75661707
14-Oct-16,0.02,0.03,0.02,0.02,47013313
13-Oct-16,0.02,0.02,0.02,0.02,13897111
12-Oct-16,0.02,0.02,0.02,0.02,14401777
11-Oct-16,0.02,0.02,0.02,0.02,10906115
10-Oct-16,0.02,0.02,0.02,0.02,16349498
7-Oct-16,0.02,0.02,0.02,0.02,18780180
6-Oct-16,0.02,0.02,0.02,0.02,25166114
5-Oct-16,0.02,0.02,0.02,0.02,38725272
4-Oct-16,0.02,0.02,0.02,0.02,63782302
3-Oct-16,0.02,0.02,0.02,0.02,58211526
30-Sep-16,0.01,0.02,0.01,0.02,30703304
29-Sep-16,0.01,0.01,0.01,0.01,4849829
28-Sep-16,0.01,0.01,0.01,0.01,8259562
27-Sep-16,0.01,0.01,0.01,0.01,7327764
26-Sep-16,0.01,0.01,0.01,0.01,10825805
23-Sep-16,0.01,0.01,0.01,0.01,5293406
22-Sep-16,0.01,0.01,0.01,0.01,4322457
21-Sep-16,0.01,0.01,0.01,0.01,4861423
20-Sep-16,0.01,0.01,0.01,0.01,3053756
19-Sep-16,0.01,0.01,0.01,0.01,8217742
16-Sep-16,0.01,0.01,0.01,0.01,4850204
15-Sep-16,0.01,0.01,0.01,0.01,4039732
14-Sep-16,0.01,0.01,0.01,0.01,7817778
13-Sep-16,0.01,0.01,0.01,0.01,8547131
12-Sep-16,0.01,0.01,0.01,0.01,7820467
9-Sep-16,0.01,0.01,0.01,0.01,3910764
8-Sep-16,0.01,0.01,0.01,0.01,8214120
7-Sep-16,0.01,0.02,0.01,0.01,9684799
6-Sep-16,0.01,0.01,0.01,0.01,7937940
2-Sep-16,0.01,0.01,0.01,0.01,2616100
1-Sep-16,0.01,0.01,0.01,0.01,1317370
31-Aug-16,0.01,0.01,0.01,0.01,3195304
30-Aug-16,0.01,0.01,0.01,0.01,2917916
29-Aug-16,0.01,0.01,0.01,0.01,9164323
