Date,Open,High,Low,Close,Volume
2-Dec-16,4.53,4.56,4.50,4.52,6382650
1-Dec-16,4.55,4.59,4.54,4.58,6221367
30-Nov-16,4.51,4.55,4.50,4.52,4276541
29-Nov-16,4.47,4.51,4.44,4.48,5383333
28-Nov-16,4.46,4.48,4.40,4.41,4708096
25-Nov-16,4.49,4.51,4.48,4.50,1592841
23-Nov-16,4.52,4.56,4.50,4.53,3108919
22-Nov-16,4.58,4.58,4.53,4.57,3177041
21-Nov-16,4.50,4.52,4.48,4.52,3887205
18-Nov-16,4.50,4.50,4.46,4.48,3590684
17-Nov-16,4.59,4.62,4.55,4.58,2792776
16-Nov-16,4.58,4.62,4.54,4.58,6730197
15-Nov-16,4.61,4.69,4.58,4.69,5266303
14-Nov-16,4.57,4.64,4.55,4.60,8280824
11-Nov-16,4.61,4.62,4.53,4.59,9547211
10-Nov-16,4.90,4.95,4.74,4.83,21888496
9-Nov-16,4.70,4.85,4.69,4.80,10532560
8-Nov-16,4.78,4.85,4.75,4.83,3209334
7-Nov-16,4.83,4.84,4.79,4.82,4417911
4-Nov-16,4.72,4.76,4.68,4.70,4863900
3-Nov-16,4.78,4.82,4.76,4.79,7213939
2-Nov-16,4.76,4.78,4.71,4.73,7752038
1-Nov-16,4.88,4.90,4.75,4.79,7553589
31-Oct-16,4.88,4.90,4.84,4.84,5119146
28-Oct-16,4.87,4.90,4.84,4.86,5075014
27-Oct-16,4.89,4.91,4.87,4.90,5031934
26-Oct-16,4.81,4.84,4.77,4.79,5336917
25-Oct-16,4.78,4.80,4.74,4.77,5019570
24-Oct-16,4.84,4.85,4.81,4.84,7262925
21-Oct-16,4.64,4.67,4.62,4.67,10593580
20-Oct-16,4.61,4.68,4.61,4.64,10387548
19-Oct-16,4.53,4.58,4.53,4.56,2969675
18-Oct-16,4.49,4.49,4.45,4.48,3870368
17-Oct-16,4.39,4.41,4.36,4.38,2330671
14-Oct-16,4.39,4.43,4.36,4.36,2544606
13-Oct-16,4.27,4.30,4.23,4.28,2556396
12-Oct-16,4.40,4.43,4.38,4.40,1908558
11-Oct-16,4.42,4.45,4.36,4.38,4351871
10-Oct-16,4.43,4.46,4.41,4.42,3255420
7-Oct-16,4.45,4.46,4.38,4.43,4760016
6-Oct-16,4.56,4.58,4.50,4.54,5619658
5-Oct-16,4.44,4.51,4.42,4.49,7604853
4-Oct-16,4.40,4.42,4.34,4.39,6744621
3-Oct-16,4.40,4.43,4.38,4.41,2289317
30-Sep-16,4.29,4.43,4.28,4.41,7511356
29-Sep-16,4.42,4.44,4.19,4.27,10241757
28-Sep-16,4.41,4.43,4.35,4.43,4912528
