Date,Open,High,Low,Close,Volume
19-Oct-16,1250.00,1450.00,1250.00,1250.00,138
13-Oct-16,1425.00,1425.00,1425.00,1425.00,102
10-Oct-16,1350.00,1350.00,1350.00,1350.00,14
7-Oct-16,1350.00,1350.00,1350.00,1350.00,812
5-Oct-16,1600.00,1600.00,1600.00,1600.00,101
23-Sep-16,1550.00,1550.00,1490.00,1550.00,29
30-Aug-16,1250.00,1250.00,1250.00,1250.00,27
21-Jun-16,1220.00,1220.00,1220.00,1220.00,20
13-Jun-16,1120.00,1120.00,1120.00,1120.00,88
12-Apr-16,1050.00,1050.00,1050.00,1050.00,15
18-Feb-16,1000.00,1000.00,1000.00,1000.00,25
28-Dec-15,1025.00,1025.00,1025.00,1025.00,12
18-Dec-15,1025.00,1025.00,1025.00,1025.00,2
