,City,Location,Job_Title,Company,Salary,Description
0,Austin,"Austin, TX",Senior Machine Learning Data Scientist,All-In Analytics,150000.0,"Machine Learning Data Scientist. Forecasting, Statistical Modeling, building new data driven products. Sr...."
1,Austin,"Austin, TX 78701 (Downtown area)",JIRA Business System Analyst,JE Compliance,50000.0,"Ability to interact with many different types of individuals, including executives, scientists, engineers, and other business professionals...."
2,Austin,"Austin, TX",Machine Learning Engineer,Volt Workforce Solutions,135000.0,"Data mining competition experience preferred (Kaggle, KDDCUP, etc). Experience with large datasets, distributed systems, and/or data visualization is a...."
3,Austin,"Austin, TX",LCMS Certifying Scientist,Lighthouse Recruiting,70000.0,"Join our Medical Laboratory Scientists Groups:. Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and..."
4,Austin,"Austin, TX",Sr. .Net Developer,Interactive Resources LLC,130000.0,"We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
5,Austin,"Austin, TX",Senior Software Engineer/Team Lead,XOR Data Exchange,90000.0,"XOR is leading a data revolution by giving transparency, accountability and control back to data owners. Our technical team consists of fast-paced, inventive..."
6,Chicago,"Chicago, IL",Data Scientist,Workbridge Associates,95000.0,Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...
7,Chicago,"Chicago, IL",Quantitative Research Analyst,GinasTechJobs.com,180000.0,Define and implement data collection and data acquisition methods. Experience with big data or with automated trading is a plus. Quantitative Research Analyst....
8,Evanston,"Evanston, IL",Data Scientist,Hirewell,150000.0,"Data skills, whether relating to data size, speed requirements, complexity, inconsistency, etc. Web services & data transport mechanisms...."
9,Chicago,"Chicago, IL",Data Scientist (Healthcare Data),Workbridge Associates,110000.0,"Ability to work with unstructured healthcare data. A leading provider of healthcare analytics for hospitals, health systems and physicians is looking to grow..."
10,Chicago,"Chicago, IL",Supervising Environmental Soil Scientist,Metropolitan Water Reclamation District of Greater...,128016.0,"Collection, analysis, interpretation and presentation of statistical data; Under direction, manages the activities of the Land Reclamation Soil Science Section...."
11,Chicago,"Chicago, IL",Mid-Level Data Scientist,Workbridge Associates,105000.0,"Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,...."
12,Chicago,"Chicago, IL",Data Scientist – Big Data/Artificial Intelligence,Selby Jennings,150000.0,"Data Scientist – Big Data/Artificial Intelligence. Build data pipelines using big data technologies like Hadoop, Spark, etc...."
13,Chicago,"Chicago, IL","Senior Data Scientist (H20, Python, and R)",Workbridge Associates,132500.0,A major Marketing company based in downtown Chicago are looking for a Senior-level Data Scientist to join their growing Data Science team....
14,Chicago,"Chicago, IL",Senior Environmental Soil Scientist,Metropolitan Water Reclamation District of Greater...,115185.5,"Collection, analysis, interpretation and presentation of statistical data; Under professional supervision supervises technical and clerical staff in..."
15,Chicago,"Chicago, IL",Statistical Modeler,Smith Hanley Associates,82500.0,"-Conduct data mining studies. -Business experience using IRI, Nielsen data. -Ability to work with large and complex data sets...."
16,Chicago,"Chicago, IL",Lead Data Scientist,Analytic Recruiting,140000.0,Take analytical objectives and define data requirements. Analytics Firm seeking a Data Scientist to consult to clients and implement advanced statistical and...
17,Chicago,"Chicago, IL",Academic Python Developer,Jobspring Partners,87500.0,Is genomic data something that fascinates and intrigues you? Experience with Genomic data or biological sciences is ideal but not required....
18,Chicago,"Chicago, IL",Machine Learning Engineer,Jobspring Partners,110000.0,We’ve just received our second round of funding and are excited to put it to good use by bringing on some smart and talented Data Scientists....
19,Chicago,"Chicago, IL",Data Scientist,Jobspring Partners,115000.0,"As a Data Scientist with this company, you will be working on a team that’s looking at advancing and building on the existing data analytics effort...."
21,Chicago,"Chicago, IL",Software Scientist,Jobspring Partners,85000.0,This mid-sized start needs help building out their product data platform on the backend using Java. New role with a new company....
22,Chicago,"Chicago, IL",Natural Language Processing Scientist,Workbridge Associates,145000.0,Hiring for a Senior Data Scientist with a strong Natural Language Processing background for a major healthcare corporation that is building out a new data...
23,Chicago,"Chicago, IL",Research Analyst,InsightsNow Inc.,50000.0,Must have previous experience using Confirmit or other similar survey programming and data collection platforms....
24,Chicago,"Chicago, IL",Quantitative Risk Analyst,Huxley Banking & Financial Services,110000.0,"My Client, a leading Global Financial Institution is looking to hire a Quantitative Risk Analyst to join their team. The Quantitative Risk Analyst will be"
25,Chicago,"Chicago, IL",Statistical Analyst -- Health-7444 - 7444,S.C. International,80000.0,Extremely successful consulting practice has an immediate need for a Statistical Analyst. Our client is an industry leader in consulting to the healthcare
26,Evanston,"Evanston, IL",Statistical Analyst,Smith Hanley Associates,67500.0,Present data findings to management and senior leadership. 2 to 3 years of statistical and data analysis work experience required....
27,Des Plaines,"Des Plaines, IL",Senior Data Scientist,Workbridge Associates,155000.0,An established and industry leading company in the transportation and logistics space is looking for a Senior Data Scientist....
28,Chicago,"Chicago, IL",Statistical Research Scientist,Smith Hanley Associates,82500.0,"Statistical Research Scientist. Provide forecasting of future trends, predictive modeling, sampling, and data estimation...."
29,Chicago,"Chicago, IL",Market Research Analyst - (Quantitative Research Focus),Creative Circle,70000.0,"Perform quality control checks of survey websites & data. Working closely with the Market Research Director, you will help carry out quantitative research by..."
30,Chicago,"Chicago, IL",Director of Data Science,Workbridge Associates,200000.0,"Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Data, Scientist, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python, R, Hadoop, Hive,..."
31,Chicago,"Chicago, IL 60601 (Loop area)",Research Analyst,The LaSalle Network,90000.0,LaSalle Network has partnered with the most reputable investment management consulting firm located in downtown Chicago looking for a Research Analyst . This
32,Chicago,"Chicago, IL",Manager / Director of Predictive Modeling,Analytic Recruiting,115000.0,"Crafting the methodology, to data modeling using tools like SAS, R, SPSS, Python, and ultimately delivering final insightful recommendations...."
33,Chicago,"Chicago, IL",Food Scientist MS or PhD - Meat Products,Food Management Search,85000.0,"Data, drawing conclusions, documenting,. A technical leadership role providing direction...."
35,Chicago,"Chicago, IL",Quality Engineer (Big Data),Jobspring Partners,87500.0,Brand new product that is used globally by the top scientists and doctors. This product is making strides in medical genomic research that will organize and...
36,Chicago,"Chicago, IL",Software Scientist- Python,Jobspring Partners,87500.0,"If you’re a software engineer who’s interested in Data Science, petabytes of data, and researching deadly diseases, not only are you really smart, but you’d fit..."
37,Chicago,"Chicago, IL",Python Scientist,Jobspring Partners,85000.0,"If you’re a software engineer who’s interested in Data Science and researching deadly diseases, not only are you really smart, but you’d fit in perfectly with..."
38,Chicago,"Chicago, IL",Middleware Python Tester (SDET/ DevOps),Jobspring Partners,87500.0,Brand new product that is used globally by the top scientists and doctors. This product is making strides in medical genomic research that will organize and...
